Q2563	Roman%20Herzog%20Signature.svg
Q2567	Richard%20von%20Weizs%C3%A4cker%20Unterschrift.png
Q2569	Signatur%20Karl%20Carstens.jpg
Q2571	Signatur%20Walter%20Scheel.svg
Q2573	Signatur%20Gustav%20Heinemann.jpg
Q2582	Signatur%20Heinrich%20L%C3%BCbke.svg
Q2594	Theodor%20Heuss%20Signature.svg
Q2599	Paul%20McCartney%20signature.svg
Q2602	Egon%20Krenz%20signature.svg
Q2604	Signature%20of%20Pope%20Pius%20XII.svg
Q2607	Erich%20Honecker%20Signature.svg
Q2632	Ringo%20Starr%20signature.svg
Q2643	George%20Harrison%20signature.svg
Q2646	Friedrich%20Ebert%20Signature.svg
Q2655	Signature%20of%20John%20Franklin%20%281786%E2%80%931847%29.png
Q2667	Paul%20von%20Hindenburg%20signature.svg
Q2673	Chuck%20Norris%27%20signature.svg
Q2677	Wilhelm%20II%2C%20German%20Emperor%20Signature-.svg
Q2680	Unterschrift%20Bruce%20Willis%20%28Autogramm%29%20amerikanischer%20Schauspieler.png
Q2737	Louis%20de%20Fun%C3%A8s%20signature.png
Q2754	Jaroslav%20Ha%C5%A1ek%20-%20podpis.svg
Q2831	Michael%20Jackson%20signature.svg
Q2908	Antoine%20de%20Saint-Exup%C3%A9ry%20signature.svg
Q3044	Karldergrossesignatur.jpg
Q3048	Signature%20de%20Charles%20Maurras.png
Q3335	Orwell-Signature.svg
Q3355	Amelia%20Earhart%20%28signature%29.png
Q3772	Quentin%20Tarantino%27s%20signature.svg
Q3816	George%20Sand%20signature%201857.svg
Q3925	Autogramm%20Grace%20Kelly%20US-amerikanische%20Filmschauspielerin.png
Q3925	Grace%20Kelly%20Signature.svg
Q4028	Paul%20Simon%20signature.svg
Q4030	Duke%20Ellington%20Signature.png
Q4137	Signature%20d%27Elsa%20Triolet.png
Q4457	Unterschrift%20Franz%20Beckenbauer%20deutscher%20Fu%C3%9Fballspieler.png
Q4496	Mitt%20Romney%20Signature.svg
Q4573	Signature%20of%20Sean%20Connery.svg
Q4583	Anne%20Frank%20signature.svg
Q4593	RajivGandhi%20Signature.jpg
Q4605	Sarah%20Bernhardt%20signature%20droite.svg
Q4612	Marlene%20Dietrich%20Signature.svg
Q4616	Marilyn%20Monroe%20Signature.svg
Q4700	Signature%20de%20Claude%20Debussy%20-%20Biblioth%C3%A8que%20nationale%20de%20France%2C%20Gallica%20%28btv1b531897534%29.svg
Q4724	Le%20Corbusier%20signature%201957.svg
Q4724	Le%20Corbusier%20signature.svg
Q4985	Herman%20Melville%20signature.svg
Q5152	Signature%20of%20Mustafa%20Kemal%20Atat%C3%BCrk.svg
Q5284	Bill%20Gates%20signature.svg
Q5432	Firma%20de%20Francisco%20de%20Goya.svg
Q5443	Greta%20Garbo%20signature.svg
Q5577	Salvador%20dali%20signature.svg
Q5582	Vincent%20van%20Gogh%20signature%20%28Vincent%29.svg
Q5586	Signature%20of%20Katsushika%20Hokusai.png
Q5588	Frida%20Kahlo%20signature%20firma.svg
Q5589	Henri%20Matisse%20signature.svg
Q5589	Matisse%20autograph.svg
Q5592	Michelangelo%20Signature2.svg
Q5593	Picasso%20Signatur-DuMont%201977.svg
Q5597	Raffaello%20Sanzio%20da%20Urbino%201483-1520%2008%20Signature.svg
Q5598	Rembrandt%20autograph.svg
Q5599	Rubens%20autograph.png
Q5603	Andy%20Warhol%20Autograph.svg
Q5604	Frank%20Lloyd%20Wright%20signature.svg
Q5669	Boticelli%20autograph.png
Q5673	Hans%20Christian%20Andersen%20Signature.svg
Q5679	Autograph-LordByron.svg
Q5682	Miguel%20de%20Cervantes%20signature.svg
Q5683	Geoffrey%20Chaucer.svg
Q5685	Anton%20Chekhov%20signature.svg
Q5686	Charles%20Dickens%20Signature.svg
Q5721	Signature%20Philippe%20P%C3%A9tain.svg
Q5738	Adolphe%20THIERS%20autograph.svg
Q5749	Pierre-Joseph%20Proudhon%20signature.svg
Q5752	Peter%20Kropotkin%20signature.svg
Q5809	CheGuevaraSignature.svg
Q5816	Mao%20Zedong%20signature.svg
Q5878	Gabriel%20Marquez%20Signature.svg
