Q181937	I%20Ching%20Song%20Dynasty%20print.jpg
Q182692	Flickr%20-%20law%20keven%20-%20Apocalypse%20Now%5E.......minus%20the%20Helicopters...jpg
Q183157	Dostoevsky-Brothers%20Karamazov.jpg
Q183304	Troilus%20and%20Cressida.JPG
Q184222	Franz%20Kafka%20Die%20Verwandlung%201916%20Orig.-Pappband.jpg
Q184742	Hayden%20White%2011.jpg
Q185031	Time%20Out%20of%20Joint%20%281959%29.jpg
Q185118	Treasure%20Island-Scribner%27s-1911.jpg
Q185834	A%20Time%20to%20Love%20and%20a%20Time%20to%20Die%20%281958%29%20trailer%203.jpg
Q186162	Traviata.jpg
Q186162	Violetta%20%28soprano%29%2C%20figurino%20di%20Luigi%20Sapelli%20per%20La%20Traviata%20%281905%29%20-%20Archivio%20Storico%20Ricordi%20ICON001115.jpg
Q186341	Stanley%20Kubrick%20The%20Exhibition%20-%20TIFF%20-%20Shinning%20%2816215970687%29.jpg
Q188538	MasterandMargaritaFirstEdition.jpg
Q189509	JunglebookCover.jpg
Q189811	Copperfield%20cover%20serial.jpg
Q190126	Social%20contract%20rousseau%20page.jpg
Q190237	Siegfried%20awakens%20Brunhild.jpg
Q190956	Amadeus%20poster%20logo.png
Q191380	HugoHunchbackNotreDame02.jpg
Q191380	M%C3%A9aulleNotreDame.jpg
Q191380	Notre%20Dame%20de%20Paris%20Victor%20Hugo%20Manuscrit%201.jpg
Q191380	Victor%20Hugo-Hunchback.jpg
Q191663	Canterbury%20Tales.png
Q191838	Louis%20Fran%C3%A7ais-Dant%C3%A8s%20sur%20son%20rocher.jpg
Q191949	Giveaway%20von%20Pinguin%20Books%20f%C3%BCr%20Brave%20New%20World%20%28cropped%29.jpg
Q192039	DON%20GIOVANNI%201%C3%A8re%20page.jpg
Q192649	Stendhal%20Le-Rouge.jpg
Q193034	Leviathan%20frontispiece%20cropped%20British%20Library.jpg
Q193066	Breakfast%20at%20Tiffany%27s%20%281961%20poster%29.jpg
Q193417	Madame%20Bovary%201857%20%28hi-res%29.jpg
Q193705	Nutcracker1892.jpg
Q193778	Fidelio18140523.jpg
Q195789	Didriks%20Saga.jpg
Q199774	Also%20sprach%20Zarathustra%20%281883%29.gif
Q200920	For%20Whom%20the%20Bell%20Tolls%20%281940%29%201st%20edition%20cover.jpg
Q201847	Baudry-Grimm-Illp134.png
Q201873	TheMarriageofFigaroOriginalPoster.jpg
Q202009	Fahrenheit451HUNcover.jpg
Q202129	Leber%20Group%20-%20Leaf%20from%20a%20Latin%20Bible-%20Initial%20A%20and%20Initial%20A-%20Judith%20Beheading%20Holofern%20-%202005.207%20-%20Cleveland%20Museum%20of%20Art.tif
Q202333	Martiere%20et%20memoire.jpg
Q202975	Houghton%20Lowell%201238.5%20%28A%29%20-%20Wuthering%20Heights%2C%201847.jpg
Q204208	%E1%83%95%E1%83%94%E1%83%A4%E1%83%AE%E1%83%98%E1%83%A1%E1%83%A2%E1%83%A7%E1%83%90%E1%83%9D%E1%83%A1%E1%83%90%E1%83%9C%E1%83%98%20XVII%20%E1%83%A1%E1%83%90%E1%83%A3%E1%83%99%E1%83%A3%E1%83%9C%E1%83%94.jpg
Q205388	Zohar.png
Q205875	Tartuffe1739EnglishEdition.jpg
Q206400	Merchant%20venice%20tp.jpg
Q207332	Remarque%20Im%20Westen%20nichts%20Neues%201929.jpg
Q208094	Henrik-Klausen-Peer-Gynt-1876.jpg
Q208460	1984%20first%20edition%20cover.jpg
Q208622	Schwejk%20dt%20Erstausgabe.jpg
Q208659	Figaro.jpg
Q209719	Rembrandt%20-%20Haman%20Recognizes%20his%20Fate%20-%20WGA19124.jpg
Q210254	Berliner%20Illustrirte%20Zeitung%2001.jpg
Q210711	Mozart%20Die%20Entf%C3%BChrung%20aus%20dem%20Serail%20Urauff%C3%BChrung%201782.jpg
Q210784	%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%A4%D1%91%D0%B4%D0%BE%D1%80.%20%D0%98%D0%B4%D0%B8%D0%BE%D1%82.%20%D0%A7%D0%B0%D1%81%D1%82%D0%B8%201%20%D0%B8%202.%20%D0%A2%D0%B8%D1%82%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82%20%281874%29.jpg
Q211062	Anatomical%20Man.jpg
Q212318	City%20of%20God%20Manuscript.jpg
Q212340	To%20Kill%20a%20Mockingbird%20%28first%20edition%20cover%29.jpg
Q212495	%281928%29%20Brecht%20Dreigroschenoper.jpg
Q212495	Bertolt%20Brecht%20-%20Die%20Dreigroschenoper%20%28The%20Beggar%27s%20Opera%29%2C%20Wien%2C%20Universal-Edition%2C%20%281928%29.jpg
Q212898	-31-%20Thomas%20Mann%20Atlas%20Haack.jpg
Q212898	1924%20Der%20Zauberberg%20%283%29.jpg
Q213019	War%20of%20the%20Worlds%20original%20cover%20bw.jpg
Q215410	Huckleberry%20Finn%20book.JPG
Q215750	Brutus%20and%20the%20Ghost%20of%20Caesar%201802.jpg
Q215894	Candide1759.jpg
Q216578	Fleurs%20du%20mal.jpg
Q217073	Hermann%20Hesse%20Der%20Steppenwolf%201927.jpg
Q217100	OKallis-Kalevipoeg.jpg
Q217352	Jekyll%20and%20Hyde%20Title.jpg
Q219552	Greatexpectations%20vol1.jpg
Q220002	Kant-KdrV-1781.png
Q220331	Through%20the%20looking%20glass.jpg
Q220340	Disegno%20per%20copertina%20di%20libretto%2C%20disegno%20di%20Peter%20Hoffer%20per%20Parsifal%20%28s.d.%29%20-%20Archivio%20Storico%20Ricordi%20ICON012446.jpg
Q220340	Parsifal%20%281882%20retuschiert%29.jpg
Q220972	Plato%20Silanion%20Musei%20Capitolini%20MC1377.jpg
Q221047	%D0%90%D0%BD%D1%82%D0%BE%D0%BD%20%D0%91%D0%BE%D0%BD%D0%B0%D1%87%D0%B8%D1%87.%20%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%B4%D0%B0%D0%BC%D0%B0.jpg
Q221211	Orsino%20and%20viola%20Frederick%20Richard%20Pickersgill.jpg
Q221806	Cavalleria%20Rusticana%20Illustration%20Circa%201880.jpg
Q222784	Neue%20Deutsche%20Biographie%20-%20Titelblatt.jpg
Q223059	Brehms-tierleben-frontispiece.jpg
Q223688	The%20Gambler%20%28novel%29%201866%20first%20edition%20cover.jpg
Q229583	Kant%20titlepage%201795.jpg
Q230302	Genealogie%20der%20Moral%2C%201887%20-%20cover.jpg
Q230307	Deutsch%20Franz%20Jahrb%C3%BCcher%20%28Ruge%20Marx%29%20182.jpg
Q230313	Deutsch%20Franz%20Jahrb%C3%BCcher%20%28Ruge%20Marx%29%20071.jpg
Q235795	A%20Farewell%20to%20Arms%20%281929%29%20cover.jpg
Q237227	Brockhaus%20Enzyklop%C3%A4die%20in%20Deutsches%20Museum.jpg
Q237227	Draft01%20wkp.png
Q237572	Deverell%20Walter%20Howard%20A%20Scene%20from%20As%20You%20Like%20It.jpg
Q240584	Georg%20Luk%C3%A1cs%2C%20Geschichte%20und%20Klassenbewusstsein%201923.jpg
Q240617	Le%20P%C3%A8re%20Goriot%2C%201er%20Volume%2C%201835.png
Q241077	Lytras%20nikiforos%20antigone%20polynices.jpeg
Q244161	Chodowiecki%20Socrates.jpg
Q246656	Grand%20Hotel%20lobby%20card.jpg
Q246732	SatyriconPithou1587.svg
Q249219	Thomas%20Mann%20Der%20Erw%C3%A4hlte%201951.jpg
Q249769	The%20Murder%20Of%20Agamemnon%20-%20Project%20Gutenberg%20eText%2014994.png
Q249905	Kmv%20reprint%20union%20schatzimsilbersee.jpg
Q250125	Thomas%20Mann%20Lotte%20in%20Weimar%201939.JPG
Q250371	Jabberwocky.jpg
Q254661	%C3%96d%C3%B6n%20von%20Horv%C3%A1th%2C%20Jugend%20ohne%20Gott%201979.jpg
Q254661	Odon%20von%20Horvath%2C%20Jugend%20ohne%20Gott%201937.jpg
Q255423	Mutzenbacher-title-page.jpg
Q258830	The%20Last%20Laugh%20%28SAYRE%2014726%29.jpg
Q260205	The%20Jungle%20%281906%29%20cover.jpg
