Q989	Pope%20John%20Paul%20II%20smile.jpg
Q991	Vasily%20Perov%20-%20%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82%20%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20-%20Google%20Art%20Project.jpg
Q997	RIAN%20archive%2025981%20Academician%20Sakharov.jpg
Q1001	Mahatma-Gandhi%2C%20studio%2C%201931.jpg
Q1003	Strajk%20sierpniowy%20w%20Stoczni%20Gda%C5%84skiej%20im.%20Lenina%2034.jpg
Q1031	Pre%C5%A1ern-Goldenstein.jpg
Q1035	Charles%20Darwin%20portrait.jpg
Q1043	Carl%20von%20Linn%C3%A9.jpg
Q1047	Jawaharlal%20Nehru%2C%201947.jpg
Q1048	Gaius%20Iulius%20Caesar%20%28Vatican%20Museum%29.jpg
Q1064	Francesco%20Hayez%20-%20Ritratto%20di%20Alessandro%20Manzoni.jpg
Q1065	Secretary%20Kerry%20Addresses%20Delegates%20Before%20Signing%20the%20COP21%20Climate%20Change%20Agreement%20on%20Earth%20Day%20in%20New%20York%20%2826514585581%29.jpg
Q1067	Portrait%20de%20Dante.jpg
Q1124	Bill%20Clinton.jpg
Q1145	Attribu%C3%A9%20%C3%A0%20Joseph%20Aved%2C%20Portrait%20de%20Jean-Philippe%20Rameau%20%28vers%201728%29%20-%20001.jpg
Q1149	Face%20detail%2C%20Premier%20Indira%20Gandhi%20%28Congrespartij%29%2C%20Bestanddeelnr%20929-0811%20%28cropped%29.jpg
Q1150	Mercure%20by%20Augustin%20Pajou.jpg
Q1151	Berlioz%20Petit%20BNF%20Gallica-crop.jpg
Q1178	Maurice%20Ravel%201925.jpg
Q1192	Jean-Baptiste%20Lully.jpeg
Q1203	John%20Lennon%2C%201974%20%28cropped%29.jpg
Q1224	Ciampi%20ritratto.jpg
Q1225	Bruce%20Springsteen%20-%20Roskilde%20Festival%202012.jpg
Q1254	Kofi%20Annan%202012%20%28cropped%29.jpg
Q1260	Kurt%20Waldheim%20UN.jpg
Q1268	Frederic%20Chopin%20photo.jpeg
Q1276	Leonard%20Cohen%2C%201988%2001.jpg
Q1290	Blaise%20Pascal%20Versailles.JPG
Q1299	Beatles%20Trenter%201963.jpg
Q1299	Beatles%20ad%201965%20just%20the%20beatles%20crop.jpg
Q1316	Saddam%20Hussein%20at%20trial%2C%20July%202004.JPEG
Q1317	Osama%20bin%20Laden%20portrait.jpg
Q1325	Friedrich%20Hayek%20portrait.jpg
Q1339	Johann%20Sebastian%20Bach.png
Q1340	Vivaldi.jpg
Q1377	University%20of%20Ljubljana%20Palace.jpg
Q1378	UniverzaMaribor.jpg
Q1394	Vladimir%20Lenin%20in%20July%201920%20by%20Pavel%20Zhukov.jpg
