100200710	Christoph%20von%20Hellwig.%20Line%20engraving%20by%20J.%20Petros%2C%201713.%20Wellcome%20V0002671.jpg
100202640	Kretschmann.jpg
100207359	Johann%20Daniel%20Georg%20von%20Memminger%2C%20001.jpg
100207669	Claude%20Godart%20d%27aucourt%20marquis%20plancy%20fermier%20g%C3%A9n%20par%20Gros%209015.jpg
100212433	John%20Christopher%20Kunze.jpg
100217281	Ernst%20Hermann%20Joseph%20M%C3%BCnch%20%281798-1841%29.jpg
100219756	Johann%20Daniel%20Ferdinand%20Neigebaur%20%E2%80%A0%201866.jpg
100224156	Nerses%20Gracious.jpg
100225748	Johann%20Nikolaus%20Myler%20ab%20Ehrenbach.jpg
100227627	Portret%20van%20Leonhard%20Meister%2C%20RP-P-1914-3362.jpg
100228003	Johann%20Jacob%20Noeggerath.jpg
100229573	Charles%20de%20Pougens.jpg
100232469	Preusker%201840.jpg
100232515	Hans%20von%20Held.jpg
100233791	Georg%20Phillips%20Litho.jpg
100234526	Louis-Beno%C3%AEt%20Picard%20%281769-%201828%29%20par%20Jamont%20d%E2%80%99apr%C3%A8s%20Crigner%202.JPG
100236456	Cameo%20of%20John%20Pinkerton%2C%201798%2C%20SNPG.JPG
100238238	Portrait%20of%20Vincent%20Obsopoeus.png
100239811	Alex-Jean-Baptiste%20Parent-Duch%C3%A2telet.%20Stipple%20engraving%20by%20G%20Wellcome%20V0004476%20%28cropped%29.jpg
100240283	Gillardone%201.jpg
100240445	Friedrich%20Parrot.jpg
100246982	G%C3%A9n%C3%A9ral%20Jean%20Jacques%20Germain%20Pelet.jpg
100257712	Portret%20van%20dichter%20en%20toneelschrijver%20Giovanni%20Gherardo%20de%20Rossi%2C%20RP-P-1909-4827.jpg
100258921	Wilhelm%20Gottfried%20Ploucquet%20%281744-1814%29.jpg
100259723	Hanns%20Sachs.jpg
100263690	Frontespizio.%20Reisen%20in%20verschiedene%20provinzen%20des%20K%C3%B6nigreichs%20Neapel%201.jpg
100264913	Christoph%20Schorer%20%281618%20-%201671%29.jpg
100265979	Ernest%20Frederick%2C%20Duke%20of%20Saxe-Coburg-Saalfeld%20-%20Veste%20Coburg.png
10026705X	SchmidtKEK.jpg
100267904	Karl-Schnaase.jpg
100268013	MatthiasSchneckenburger.jpg
100269435	Schirach-benedikt-von-in-1934-die-heimat-bd44-nr06-juni1934-s182.jpg
100271820	Jacob%20Friedrich%20Christian%20Sebastian%20%28HeidICON%2033513%29%20%28cropped%29.jpg
100276318	Staeudlin%2C-Karl-Friedrich.jpg
100278043	Friedrich%20Christoph%20F%C3%B6rster%20na%201815.jpg
100283713	Augustus%20Bozzi%20Granville.jpg
100286062	Ludwig%20Giesebrecht.png
100289452	Christian%20Joseph%20Jagemann%201790.jpg
100289614	Augustgotha.jpg
100290094	Hegesippus%20Egesippus%20Nuremberg%20Chronicle%20cropped.png
100291597	Helfrecht%20johann-theodor-benjamin.jpg
100294871	Wilhelm%20Friedrich%20Hufnagel.jpg
10029569X	Karl%20Bernhard%20Hundeshagen.jpg
100298990	Luce%20de%20Lancival%20%281764%E2%80%931810%29.jpg
10030396X	Gustav%20Klemm.jpg
100308023	August%20Gottlieb%20Mei%C3%9Fner.jpg
100309038	Johann%20Georg%20Meusel.jpg
100309674	Adolf%20Michaelis%20%281797-1863%29.jpg
100310281	Jakob%20Micyllus.jpg
100315399	Bischof%20Georg%20von%20Oettl%20%281794-1866%29%20by%20Giovanni%20Silvagni.jpg
100316875	Friedrich%20Schulz%20portrait%20ca%201788.jpg
100317278	Johann%20Jacob%20Reiske%20-%20Imagines%20philologorum.jpg
100324703	Herman-Johan-Royaards.jpg
100335101	Renatus%20Leopold%20Christian%20von%20Senckenberg.jpg
100342337	Fournierphoto.gif
100354270	Johann%20Reinhard%20Hedinger%2C%20Portr%C3%A4t.jpg
100358098	Karl%20Christoph%20Hofacker%20%28Scherenschnitt%29.jpg
100363105	Christian%20Gottlieb%20J%C3%B6cher.jpg
100369979	Jean%20Georges%20Chr%C3%A9tien%20Fr%C3%A9d%C3%A9ric%20Martin%20Lobstein%20-%20portrait%202.jpg
100370381	Johann%20Wilhelm%20Loebell%20Schuetter.jpg
100371310	Portrait%20of%20Jean-Louis%20de%20Lolme%20from%20Constitution%20de%20l%27Angleterre%20%281789%29.jpg
100371922	Marcus%20Lycklama.jpg
100372724	Gerold%20Meyer%20von%20Knonau%20d.%C3%84.%20-%20Staatsarchiv%20Z%C3%BCrich.jpg
100376924	Karl%20von%20Marinelli.jpg
100379397	Francesco%20Maria%20Molza.jpg
100381464	Grab-Ignaz-Perner-Alter-Suedl-Friedhof-Muenchen-GF-37-13-34-Bueste.jpg
10038384X	Johann%20Gottfried%20Pahl%20G1312I%20Ausschnitt.jpg
100385702	Joseph%20Friedrich%20von%20Racknitz%20Anton%20Graff%20um%201790.jpg
100387705	Gottlob%20Heinrich%20Rapp%201790.jpeg
100392822	Ioan%20Sebastian%20Rittershausen.jpg
100400159	Alois%20Wilhelm%20Schreiber.jpg
100400965	Jacob%20Schuback.jpg
100405479	WaltershausenGeorge.jpg
100411924	Portret%20van%20Godescalcus%20Stewechius%20op%2032-jarige%20leeftijd%2C%20RP-P-OB-10.160.jpg
10041267X	HeinrichArnoldStockflethEimmart.jpg
10041463X	Johannes%20Baptista%20von%20Albertini%202.png
10041544X	Stieler%20-%20Amalie%20Auguste%20of%20Bavaria%20-%20Galerie%20Neue%20Meister.jpg
100416993	Carl%20Ludwig%20Arndts.jpg
100428649	Portrait%20de%20X.-B.%20Saintine%2C%20%28Xavier%20Boniface%2C%20dit%29%2C%20%281798-1865%29%2C%20%28romancier%2C%20auteur%20dramatique%29%2C%20PH56175%20%281%20of%202%29%20%28cropped%29.jpg
100429521	IMG%204010%20-%20Milano%2C%20Palazzo%20di%20Brera%20-%20Bossi%2C%20Giuseppe%20-%20Foto%20Giovanni%20Dall%27Orto19-jan%202007.jpg
100437338	Karel%20Bernhard%20van%20Saksen-Weimar-Eisenach.jpg
100441386	AdolpheCheruel.jpeg
100441505	Aaron%20Chorin.jpg
100442048	Leonard%20Chod%C5%BAko.PNG
10044220X	Charles%20I%2C%20Duke%20of%20Brunswick-Wolfenb%C3%BCttel%2C%20by%20Manufaktur%20F%C3%BCrstenberg%20after%20a%20marble%20bust%20by%20Bartolomeo%20Cavaceppi%2C%20after%201772%20AD%2C%20porcelain%20-%20Naturhistorisches%20Museum%2C%20Braunschweig%2C%20Germany%20-%20DSC05005.JPG
100458041	Carl-Brosboell%20Carit-Etlar.jpg
100468365	PPN663958687%20Bildnis%20von%20Nicolaus%20Joachim%20Guilliam%20Evers.jpg
100469191	Le%20Vachez%20Collection%20-%20Ange-Marie%20d%27Eymar%20%281747-1803%29.jpg
100470106	Weigl.jpg
100474640	Pompeo%20Girolamo%20Batoni%20-%20Don%20Jos%C3%A9%20Mo%C3%B1ino%20y%20Redondo%2C%20Conde%20de%20Floridablanca%20-%201974.386%20-%20Art%20Institute%20of%20Chicago.jpg
100479111	Fuchs-conrad-heinrich-in-voit-max-hrsg-bildnisse-goettinger-professoren-goettingen-vandenhoeck-und-ruprecht-1937-nr119.jpg
100487483	.%20Carl%20Johann%20Greith%20%281807-1882%29.jpg
100497411	H%20v%20Herwerden.jpg
100499651	Head%20of%20Hipparchus%20%28cropped%29.jpg
100499821	Daniel%20Hirtz%201873.jpg
100502490	Georg%20Heinrich%20Gottlieb%20Jahr.jpg
100513905	Konstantin%20Joseph%20von%20Loewenstein-WertheimJS.jpg
100521878	Medny%C3%A1nszky%20Alajos%201784-1844-hungarian-writer-and-historian-dm7m92.jpg
100532802	Andr%C3%A9a%20de%20Nerciat%20by%20F%C3%A9lix%20Bracquemond.jpg
100553966	Photograph%2C%20Carl%20%28Charles%29%20Rumker%20%28Sydney%20Observatory%29%20-%20Museum%20of%20Applied%20Arts%20%26%20Sciences.png
10055590X	Christian%20Jacob%20Wagenseil.jpg
100558380	Johannes%20Schmidlin%201722-1772.jpg
100570186	Bernhard%20von%20Beskow%201830.jpg
100572677	Joseph%20epple.jpg
100576400	Famien%20Strada%20Histoire%20portrait%20MG%208876ppn234%20087811480T1pag001.tif
100576869	Hermann%20Hauff%2C%20001.jpg
100578985	Jean-Charles%20Gervaise%20de%20Latouche.jpg
100591604	Specksche%20Gem%C3%A4ldesammlung%20%281827%29%20Portr%C3%A4t.jpg
100595189	Suard%20JBA%2C%20Mus%C3%A9e%20de%20la%20R%C3%A9volution%20fran%C3%A7aise%20-%20Vizillepg.jpg
100595820	Wilhelm%20Gottlieb%20Tafinger%20%28retuschiert%29.jpg
10059686X	Touchard-Lafosse.jpg
100610161	Lepsius-Expedition-Cheops-Pyramide%20%28full%29.jpg
100613381	Antoine%20Meyer%20by%20Edouard%20Meyer.jpg
100625320	Carl%20Gottlieb%20Reissiger.jpg
100626459	Vehe1.jpg
100636209	German%20School%20-%20Karl%20Alexander%20of%20W%C3%BCrttemberg.png
100655378	Dominicus%20Custos%20Herzog%20Ludwig%20von%20W%C3%BCrttemberg.jpg
10065603X	Traitteur-CarlTheodor-1756-1830.jpg
100657214	Carl-Bernhard-Trinius.jpg
100659349	Portret%20van%20Johann%20Adam%20Wels%2C%20RP-P-1913-255.jpg
100667430	Aug%20Fried%20Walther.jpg
100679463	Johannes%20Jacob%20Wecker%20from%20his%20Secrets%20of%20Art%20and%20Nature%201660.jpg
100689590	Heinrich%20Vo%C3%9F.jpg
100695388	Johann%20Heinrich%20Schr%C3%B6der%20-%20Herzog%20Eugen%20Friedrich%20Heinrich%20von%20W%C3%BCrttemberg-Carlsruhe.jpg
100696198	Johann%20Friedrich%20Weidler%20%28Mentzel%29.jpg
100702236	WerdenhagenJAB5588.JPG
100703291	Windisch.jpg
10070333X	Kjh%20Windischmann.jpg
100705863	Ferdinand%20von%20Witzleben1.JPG
100718337	King%20Willem%20II.jpg
100724833	Vrangel%20FP.jpg
100745628	Pfintzing.jpg
100763871	Andreas%20Romberg.jpg
10079145X	JohannErnstImmanuelWalch.jpg
100791549	HeinrichFreiherrvonMenu.JPG
100792111	GeorgCasparKirchmajer.jpg
100792553	StieglitzCL.jpg
100793215	Christian.Petersen.portraet.2.jpg
100793991	Hedemann%20H%20J%20C.png
10079436X	Couder%20-%20Pauline%20Guizot%20n%C3%A9e%20de%20Meulan.jpg
100794548	Etienne%20de%20Jouy.jpg
100796303	Louis%20Hersent%20-%20Delphine%20de%20Girardin.jpg
100796486	Burgerbibliothek%20Bern%20-%20Mss.M%C3%BCl.Gr.A.26.jpg
100796532	Koethe%2C%20Friedrich%20August%20%281781-1850%29.jpg
100796923	FederJGH.jpg
100796958	Jakob%20Wilhelm%20Feuerlein.jpg
100797083	Claude-Joseph%20Dorat%20by%20Saint-Aubin%20detail.jpg
100799302	PPN663949742%20C.%20F.%20Wurm.jpg
100800890	Max%20Ring%20%281817-1901%29.jpg
100801897	Domkapitular%20Dr.%20Wilhelm%20Molitor.jpg
100801919	Die%20Gartenlaube%20%281867%29%20b%20508.jpg
100802583	August%20Schumann.jpg
100803822	Hiltl-georg-in-das-buch-der-welt-jg31-1872-nr16-s249.jpg
100803997	Magnus%20Daniel%20Omeis%20%28Kilian%29%20%28cropped%29.jpg
100804195	Meta%20Forkel-Liebeskind.jpg
100804500	Johann%20August%20Ernesti%20-%20Imagines%20philologorum.png
100804691	Karl%20Friedrich%20Arnold%20von%20L%C3%BCtzow%201879.jpg
100804810	Friedrich%20Pfaff%201886%20%28cropped%29.jpg
100805906	Charles%20Pictet%20de%20Rochemont.jpg
100805949	Johann-Samuel-Ersch.jpg
100810136	HauchJC.jpg
100810764	Fotothek%20df%20tg%200006993%20Mechanik%20%5E%20Bibliographie%20%5E%20Portr%C3%A4t.jpg
100813283	Georg%20Freiherr%20von%20Ompteda.%20Radierung%20von%20Johann%20Lindner.jpg
100816703	Heinrich%20Kurz%20%28IZ%2057-1871%20S%20301%20HScherenberg%29.jpg
10081736X	August%20von%20Hartmann.jpg
100819443	FLWMeyer1.jpg
100819672	Christoph%20F%C3%BCrer%20von%20Haimendorf.gif
100819753	Johann%20Rudolf%20Huber%2C%20Bildnis%20Carl%20Friedrich%20Drollinger.jpg
100820557	Wilhelm%20Bornemann.jpg
100822177	Adolf%20Holtzmann%201887%20Th.%20Mayerhofer.png
100823319	Johann-Adrian-Slevogt.jpg
100823548	Carl%20Christian%20Vogel%20von%20Vogelstein%20-%20Ernst%20Benjamin%20Salomo%20Raupach.jpg
10082451X	Von%20Klaproth%20%28klein%29.jpg
100824544	Jules%20Mohl.png
100824714	Karl%20C%C3%A4sar%20Leonhard%20Litho%20%28cropped%29.jpg
100825656	Carl%20Diesch.jpg
100825982	Albert%20Sleumer.jpg
100826857	Junghuhn-Licht2.jpg
10082708X	Steininger%20Johannes%20%28Tripota%29.jpg
10082871X	Johann-Friedrich-Menz.jpg
100832806	John%20Payne%20Collier.jpeg
100832865	Prova%20di%20un%27opera.jpg
100833357	Julius%20von%20Eckardt.jpg
100835856	FredericDeReiffenberg.jpg
100836526	Heinrich%20Ferdinand%20W%C3%BCstenfeld.jpg
100837050	Barack%20portraet.jpg
100837867	Eduard%20Jacobs%20als%20Wingolfit.jpg
100844316	Dirck%20Rafa%C3%ABlszn%20Camphuysen.png
100844901	Franz%20Ignaz%20Holbein.jpg
100846785	Samuel%20Weller%20Singer%2C%201831%20drawing.jpg
100853617	L.%20E.%20Borowski.JPG
100855296	M%C3%A9lesville%2C%20p%C3%A8re%2C%20Nadar%2C%20Gallica.jpg
